,Total Return,Annualized Return,Annualized Volatility,Max Drawdown,Sharpe Ratio
MVO (Min Var),0.8735251092278251,0.07238079476847203,0.0899492509838024,-0.20166376045110898,0.8046847970029901
HRP (inverse-var),1.5900729813323182,0.11174374010909593,0.10313567558285672,-0.20725340963592595,1.0834635006518545
Equal-Weighted,4.239064095164577,0.20242576997395312,0.15554437233752547,-0.2864091756943295,1.3014020818104353
